3570_5694_000007_000004|drunkenness and the other pathological consequences of the free use of stimulants, therefore tend in their turn to become honorific, as being a mark at the second remove of the superior status of those who are able to afford the indulgence.|drunkenness and the other pathological consequences of the free use of stimulants, therefore tend in their turn to become honorific, as being a mark at the second remove of the superior status of those who are able to afford the indulgence.
3570_5694_000007_000005|Infirmities induced by overindulgence are among some people's freely recognized as manly attributes.|Infirmities induced by overindulgence are among some people's freely recognized as manly attributes.
3570_5694_000007_000006|It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.|It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.
3570_5694_000007_000008|The same in video's distinction adds force to the current disapproval of any indulgence of this kind on the part of women, minors and infuriars.|The same in video's distinction adds force to the current disapproval of any indulgence of this kind on the part of women, minors and infuriars.
3570_5694_000007_000009|This in-video's traditional distinction has not lost its force even among the more advanced people of today.|This in-video's traditional distinction has not lost its force even among the more advanced people of today.
3570_5694_000007_000010|Where the example set by the leisure class retains its imperative force in the regulation of the conventionalities, it is observable that the women still in great measure practice the same traditional continents with regard to stimulants.|Where the example set by the leisure class retains its imperative force in the regulation of the conventionalities, it is observable that the women still in great measure practice the same traditional continents with regard to stimulants.
3570_5694_000008_000000|This characterization of the grey-to-continence in the use of stimulants practiced by the women of the reputable classes may seem an excessive refinement of logic at the expense of common|This characterization of the grey-to-continence in the use of stimulants practiced by the women of the reputable classes may seem an excessive refinement of logic at the expense of common
3570_5694_000008_000001|But facts with an easy reach of anyone who cares to know them, go to say that the great raptzonance of women is in some part due to an imperative conventionality. And this conventionality is, in a general way, strongest where the patriarchal tradition, the tradition that the woman is a chattel has retained its hold in greatest vigor.|But facts with an easy reach of anyone who cares to know them, go to say that the great raptzonance of women is in some part due to an imperative conventionality. And this conventionality is, in a general way, strongest where the patriarchal tradition, the tradition that the woman is a chattel has retained its hold in greatest vigor.
3570_5694_000008_000002|In a sense which has been greatly qualified in scope and rigor, but which has by no means lost its meaning even yet, this tradition says that the woman, being a chattel, should consume only what is necessary to her sustenance, except so far as her further consumption contributes to the comfort or the good repute of her master.|In a sense which has been greatly qualified in scope and rigor, but which has by no means lost its meaning even yet, this tradition says that the woman, being a chattel, should consume only what is necessary to her sustenance, except so far as her further consumption contributes to the comfort or the good repute of her master.
3570_5694_000008_000003|The consumption of luxuries in the true sense is a consumption directed to the comfort of the consumer himself, and is therefore a mark of the master.|The consumption of luxuries in the true sense is a consumption directed to the comfort of the consumer himself, and is therefore a mark of the master.
3570_5694_000008_000004|Any such consumption by others can take place only on a basis of sufferings.|Any such consumption by others can take place only on a basis of sufferings.
3570_5694_000008_000007|With many qualifications, with more qualifications as the patriarchal tradition has gradually weakened, the general rule is felt to be right and binding that women should consume only for the benefit of their masters.|With many qualifications, with more qualifications as the patriarchal tradition has gradually weakened, the general rule is felt to be right and binding that women should consume only for the benefit of their masters.
3570_5694_000008_000008|The objection of course presents itself that expenditure on women's dress and household paraphernalia is an obvious exception to this rule, but it will appear in the sequel that this exception is much more obvious than substantial.|The objection of course presents itself that expenditure on women's dress and household paraphernalia is an obvious exception to this rule, but it will appear in the sequel that this exception is much more obvious than substantial.
3570_5694_000008_000009|During the earlier stages of economic development, consumption of goods without stint, especially consumption of the better grades of goods, ideally all consumption in excess of the subsistence minimum pertains normally to the leisure class.|During the earlier stages of economic development, consumption of goods without stint, especially consumption of the better grades of goods, ideally all consumption in excess of the subsistence minimum pertains normally to the leisure class.
3570_5694_000008_000010|This restriction tends to disappear, at least formally, after the later peaceable stage has been reached, with private ownership of goods and an industrial system based on wage labour around the Petty Household Economy.|This restriction tends to disappear, at least formally, after the later peaceable stage has been reached, with private ownership of goods and an industrial system based on wage labour around the Petty Household Economy.
3570_5694_000008_000011|But during the earlier quasi-peaceable stage, on so many of the traditions through which the institution of a leisure class has affected the economic life of later times were taking form and consistency, this principle has had the force of a conventional law.|But during the earlier quasi-peaceable stage, on so many of the traditions through which the institution of a leisure class has affected the economic life of later times were taking form and consistency, this principle has had the force of a conventional law.
3570_5694_000008_000012|It has served as the norm to which consumption has tended to conform, and any appreciable departure from it is to be regarded as an aberrant form, short to be eliminated soon and or later in the further course of development.|It has served as the norm to which consumption has tended to conform, and any appreciable departure from it is to be regarded as an aberrant form, short to be eliminated soon and or later in the further course of development.
3570_5694_000009_000001|He consumes freely and of the best. In food, drinks, narcotics, shelter, services, ornaments, apparel, weapons and accoutrements, amusements, amulets, and idols or divinities. In the process of gradual amuleration which takes place in the optical service consumption, the motive principle and proximate aim of innovation is no doubt the higher efficiency of the improved and more elaborate products for personal comfort and well-being.|He consumes freely and of the best. In food, drinks, narcotics, shelter, services, ornaments, apparel, weapons and accoutrements, amusements, amulets, and idols or divinities. In the process of gradual amuleration which takes place in the optical service consumption, the motive principle and proximate aim of innovation is no doubt the higher efficiency of the improved and more elaborate products for personal comfort and well-being.
3570_5694_000009_000002|but that does not remain the sole purpose of their consumption.|but that does not remain the sole purpose of their consumption.
3570_5694_000009_000003|The canon of reputability is at hand and ceases upon such innovations, as are, according to its standard, fit to survive.|The canon of reputability is at hand and ceases upon such innovations, as are, according to its standard, fit to survive.
3570_5694_000009_000004|Since the consumption of these more excellent goods is an evidence of wealth, it becomes honorific, and conversely, the failure to consume in due quantity and quality becomes a mark of inferiority and demerit.|Since the consumption of these more excellent goods is an evidence of wealth, it becomes honorific, and conversely, the failure to consume in due quantity and quality becomes a mark of inferiority and demerit.
3570_5694_000010_000000|This growth of punctilist discrimination as to qualitative excellence in eating, drinking, etc., presently affects not only the manner of life, but also the training and intellectual activity of the gentle man of leisure.|This growth of punctilist discrimination as to qualitative excellence in eating, drinking, etc., presently affects not only the manner of life, but also the training and intellectual activity of the gentle man of leisure.
3570_5694_000010_000001|He is no longer simply the successful, aggressive male, the man of strength, resource and intrepidity.|He is no longer simply the successful, aggressive male, the man of strength, resource and intrepidity.
3570_5694_000010_000002|In order to avoid saltification, he must also cultivate his tastes. For it now becomes incumbent on him to discriminate with some nicety between the noble and the ignoble in consumable goods.|In order to avoid saltification, he must also cultivate his tastes. For it now becomes incumbent on him to discriminate with some nicety between the noble and the ignoble in consumable goods.
3570_5694_000010_000003|He becomes a connoisseur in credible vions of various degrees of merit in manly beverages and trinkets, in seemingly apparel and architecture in weapons, games, dancers and the narcotics.|He becomes a connoisseur in credible vions of various degrees of merit in manly beverages and trinkets, in seemingly apparel and architecture in weapons, games, dancers and the narcotics.
3570_5694_000010_000004|This cultivation of aesthetic faculty requires time and application, and the demands made upon the gentleman in this direction therefore tend to change his life of leisure into a more or less adious application to the business of learning how to live a life of a sensible leisure in a becoming way.|This cultivation of aesthetic faculty requires time and application, and the demands made upon the gentleman in this direction therefore tend to change his life of leisure into a more or less adious application to the business of learning how to live a life of a sensible leisure in a becoming way.
3570_5694_000010_000005|closely related to the requirement that the gentleman must consume freely and of the right kind of goods, there is the requirement that he must know how to consume them in a seemingly manner.|closely related to the requirement that the gentleman must consume freely and of the right kind of goods, there is the requirement that he must know how to consume them in a seemingly manner.
3570_5694_000010_000006|His life of leisure must be conducted in due form.|His life of leisure must be conducted in due form.
3570_5694_000010_000007|Hence arise good manners in the way pointed out in an earlier chapter.|Hence arise good manners in the way pointed out in an earlier chapter.
3570_5694_000010_000008|Hybrid manners and ways of living are items of conformity to the norm of conspicuous leisure and conspicuous consumption.|Hybrid manners and ways of living are items of conformity to the norm of conspicuous leisure and conspicuous consumption.
3570_5694_000011_000000|Conspicuous consumption of valuable goods is a means of reputability to the gentleman of leisure.|Conspicuous consumption of valuable goods is a means of reputability to the gentleman of leisure.
3570_5694_000011_000001|As wealth accumulates on his hands, his own unaided effort will not avail to sufficiently put his opulence in evidence by this method.|As wealth accumulates on his hands, his own unaided effort will not avail to sufficiently put his opulence in evidence by this method.
3570_5694_000011_000002|The aid of friends and competitors is therefore brought in by resorting to the giving of valuable presents and expensive feasts and entertainments.|The aid of friends and competitors is therefore brought in by resorting to the giving of valuable presents and expensive feasts and entertainments.
3570_5694_000011_000003|Presents and feasts had probably another origin than that of naive ostentation, but they required their utility for this purpose very early, and they have retained that character to the present, so that their utility in this respect has now long been the substantial ground on which these usages rest.|Presents and feasts had probably another origin than that of naive ostentation, but they required their utility for this purpose very early, and they have retained that character to the present, so that their utility in this respect has now long been the substantial ground on which these usages rest.
3570_5694_000011_000004|Costly entertainments, such as the potlatch or the ball, are peculiarly adapted to serve this end.|Costly entertainments, such as the potlatch or the ball, are peculiarly adapted to serve this end.
3570_5694_000011_000005|The competitor with whom the entertainer wishes to institute a comparison is, by this method, made to serve as a means to the end.|The competitor with whom the entertainer wishes to institute a comparison is, by this method, made to serve as a means to the end.
3570_5694_000011_000006|He consumes vicariously for his host at the same time that he is witness to the consumption of that excess of good things, which his host is unable to dispose of single-handed. And he is also made to witness his host's facility in etiquette.|He consumes vicariously for his host at the same time that he is witness to the consumption of that excess of good things, which his host is unable to dispose of single-handed. And he is also made to witness his host's facility in etiquette.
3570_5694_000012_000001|The custom of festive gatherings probably originated in motives of conviviality and religion. These motives are also present in the later development, but they do not continue to be the sole motives.|The custom of festive gatherings probably originated in motives of conviviality and religion. These motives are also present in the later development, but they do not continue to be the sole motives.
3570_5694_000012_000002|The latter-day leisure class festivities and entertainments may continue in some slight degree to serve the religious need, and in a higher degree the needs of recreation and conviviality, but they also serve on an invidious purpose, and they serve it nonetheless effectively, for having a colourable, non-invideous ground in these more available motives.|The latter-day leisure class festivities and entertainments may continue in some slight degree to serve the religious need, and in a higher degree the needs of recreation and conviviality, but they also serve on an invidious purpose, and they serve it nonetheless effectively, for having a colourable, non-invideous ground in these more available motives.
3570_5694_000012_000003|but the economic effect of these social amenities is not therefore lessened, either in the vicarious consumption of goods or in the exhibition of difficult and costly achievements in etiquette.|but the economic effect of these social amenities is not therefore lessened, either in the vicarious consumption of goods or in the exhibition of difficult and costly achievements in etiquette.
3570_5694_000013_000000|As wealth accumulates, the leisure class develops further in function and structure, and there arises a differentiation within the class. There is a more or less elaborate system of ranking grades.|As wealth accumulates, the leisure class develops further in function and structure, and there arises a differentiation within the class. There is a more or less elaborate system of ranking grades.
3570_5694_000013_000001|This differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentility.|This differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentility.
3570_5694_000013_000003|Hence results a class of impicunious gentleman of leisure, incidentally referred to already. These half-cased gentleman of leisure fall into a system of hierarchical gradations.|Hence results a class of impicunious gentleman of leisure, incidentally referred to already. These half-cased gentleman of leisure fall into a system of hierarchical gradations.
3570_5694_000013_000004|Those who stand near the higher and the highest grades of the wealthy leisure class in point of birth or in point of wealth are both outdrank the remote to bone and the peculiarly weaker.|Those who stand near the higher and the highest grades of the wealthy leisure class in point of birth or in point of wealth are both outdrank the remote to bone and the peculiarly weaker.
3570_5694_000013_000006|They become his courtiers or retainers' servants, and being fed and countenanced by their patron, they are indices of his rank and vicarious consumer of his superfluous wealth.|They become his courtiers or retainers' servants, and being fed and countenanced by their patron, they are indices of his rank and vicarious consumer of his superfluous wealth.
3570_5694_000013_000007|Many of these affiliated gentlemen of leisure are at the same time less than men of substance in their own right, so that some of them are scarcely at all, others only partially to be rated as vicarious consumers.|Many of these affiliated gentlemen of leisure are at the same time less than men of substance in their own right, so that some of them are scarcely at all, others only partially to be rated as vicarious consumers.
3570_5694_000013_000008|So many of them, however, as make up the retainer and hangers on of the patron, may be classed as vicarious consumer without qualification.|So many of them, however, as make up the retainer and hangers on of the patron, may be classed as vicarious consumer without qualification.
3570_5694_000014_000002|As regards feasts and largeesses, this is obvious enough, and the imputation of repute to the host or patron here takes place immediately on the ground of common notoriety.|As regards feasts and largeesses, this is obvious enough, and the imputation of repute to the host or patron here takes place immediately on the ground of common notoriety.
3570_5694_000014_000004|As the group whose good esteem is to be secured in this way grows larger, more patent means are required to indicate the imputation of merit for the leisure performed, and to this end uniforms, badges and livery is come into vogue.|As the group whose good esteem is to be secured in this way grows larger, more patent means are required to indicate the imputation of merit for the leisure performed, and to this end uniforms, badges and livery is come into vogue.
3570_5694_000014_000005|The wearing of uniforms or livery implies a considerable degree of dependence and may even be said to be a mark of servitude, real or ostensible.|The wearing of uniforms or livery implies a considerable degree of dependence and may even be said to be a mark of servitude, real or ostensible.
3570_5694_000014_000006|The wearers of uniforms and liveries may be roughly divided into two classes, the free and the survival, or the noble and the ignoble.|The wearers of uniforms and liveries may be roughly divided into two classes, the free and the survival, or the noble and the ignoble.
3570_5694_000014_000007|The services performed by them are likewise divisible internoble and ignoble.|The services performed by them are likewise divisible internoble and ignoble.
3570_5694_000014_000008|Of course, the distinction is not observed with strict consistency in practice. The less debasing of the base services and the less honorific of the noble functions are not infrequently merged in the same person.|Of course, the distinction is not observed with strict consistency in practice. The less debasing of the base services and the less honorific of the noble functions are not infrequently merged in the same person.
3570_5694_000014_000009|but the general distinction is not on that account to be overlooked.|but the general distinction is not on that account to be overlooked.
3570_5694_000014_000012|On the other hand, those employments which properly fall to the industrial class are ignoble, such as handicraft, rather productive labour, minial services and the like.|On the other hand, those employments which properly fall to the industrial class are ignoble, such as handicraft, rather productive labour, minial services and the like.
3570_5694_000014_000013|But a base service performed for a person of very high degree may become a very honorific office, as for instance the office of a maid of honor, or of a lady in waiting to the queen, or the king's master of the horse, or his keeper of the hounds.|But a base service performed for a person of very high degree may become a very honorific office, as for instance the office of a maid of honor, or of a lady in waiting to the queen, or the king's master of the horse, or his keeper of the hounds.
3570_5694_000014_000014|The two officers' last name suggests a principle of some general bearing.|The two officers' last name suggests a principle of some general bearing.
3570_5694_000014_000015|Whenever, as in these cases, the menial service in question has to do directly with the primary leisure employments of fighting and hunting, it easily acquires a reflected honorific character.|Whenever, as in these cases, the menial service in question has to do directly with the primary leisure employments of fighting and hunting, it easily acquires a reflected honorific character.
3570_5694_000014_000018|Vicaria's consumption by dependence bearing the insignia of their patron or master narrows down to a core of liveryed menials.|Vicaria's consumption by dependence bearing the insignia of their patron or master narrows down to a core of liveryed menials.
3570_5694_000014_000019|In a heightened degree, therefore, the delivery comes to be a batch of servitude or rather civility.|In a heightened degree, therefore, the delivery comes to be a batch of servitude or rather civility.
3570_5694_000014_000021|The delivery becomes obnoxious to nearly all who are required to wear it.|The delivery becomes obnoxious to nearly all who are required to wear it.
3570_5694_000014_000022|We are yet so little removed from a state of effective slavery as still to be fully sensitive to the sting of any imputation of civility.|We are yet so little removed from a state of effective slavery as still to be fully sensitive to the sting of any imputation of civility.
3570_5694_000014_000023|This antipathy asserts itself even in the case of the liveries or uniforms which some corporations prescribe as the distinctive dress of their employees.|This antipathy asserts itself even in the case of the liveries or uniforms which some corporations prescribe as the distinctive dress of their employees.
